,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
259,51.5053,-177.0869,41.2825,1600042838,290,7,-999,0.1593,-,earthquake
260,54.1436,-165.9614,0.6759,1600045557,291,4,0.69,0.5304,n,LF noise (possibly volcanic @ Akutan)
262,51.8375,-177.1454,0.9573,1600055437,293,7,-999,2.6657,-,earthquake
263,52.2841,-174.3697,9.7656,1600055577,294,15,-999,4.087,D,Duplicate of matched evid #295
267,53.4582,-167.3067,70,1600060585,298,6,1.56,-1,-,earthquake
268,52.7807,-166.6715,19.6376,1600060576,299,6,2.01,0.214,D,Duplicate of evid #298 (S-only location)
270,51.755,-177.7083,22.3027,1600064950,301,5,-999,0.3326,-,earthquake (very small)
271,52.2448,-174.2816,28.4083,1600080285,302,6,-999,0.8233,V,"volcanic (type a), one subnet only — Korovin"
273,51.9354,-176.2682,0,1600082229,304,7,-999,4.4184,-,"earthquake, low SNR"
275,51.95,-176.4475,0.4431,1600102648,306,9,-999,3.6353,-,earthquake
276,51.9055,-176.4433,0,1600105255,307,14,1.01,3.8172,-,earthquake
277,51.7098,-175.4988,55.2166,1600105546,308,8,-999,0.1645,-,earthquake
278,51.8942,-176.4701,0.7544,1600109150,309,12,0.39,3.3254,-,earthquake
279,51.6006,-177.4931,0,1600109753,311,6,1.57,4.8358,-,earthquake
280,53.1654,-168.4634,32.6918,1600111790,312,4,-999,0.0207,-,"earthquake (P-only, poor location)"
281,51.7198,-177.0853,0,1600118306,313,11,0.96,5.0191,-,"earthquake (P-only, poor location)"
284,52.0395,-175.2378,35.0221,1600129482,317,6,1.49,1.6815,-,earthquake — low SNR
285,50.9639,-175.2432,0.378,1600130219,318,12,2.04,3.0147,-,earthquake
287,54.2447,-166.4414,0.5368,1600131874,320,8,1.34,4.1397,-,earthquake
289,51.8128,-176.816,1.3948,1600140702,323,7,-999,8.9566,-,"earthquake — deep or distant, low SNR"
291,53.54,-167.8988,100,1600141515,325,14,-999,1.0763,nT,Teleseismic signal
