,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
237,61.3098,-140.9403,8.0476,1663747996,1222,7,3.52,0.8104,D,duplicate of evid #1221
238,60.1505,-140.8047,29.7609,1663776153,1223,7,-999,1.2904,-,earthquake (very noisey signals)
239,60.4077,-144.6486,0.0836,1663793015,1224,12,-999,3.8693,-,"earthquake, poor location quality"
242,60.0274,-140.2545,24.1135,1663825181,1227,10,-999,0.4188,-,earthquake
245,60.6525,-144.012,0.2218,1663836004,1230,5,2.22,0.66,D,duplicate of evid #1229
246,61.1336,-141.255,0.1593,1663863897,1231,8,1.25,1.5909,-,earthquake
248,61.4475,-141.0736,10.042,1663863937,1233,7,1.55,0.8685,D,duplicate of evid #1232
249,61.0955,-141.2047,29.717,1663864150,1234,20,1.53,1.9717,-,earthquake
250,60.6031,-142.2694,13.7665,1663865891,1235,11,-999,0.3663,-,earthquake
251,60.0983,-140.4877,99.9299,1663871354,1236,10,1.52,4.4685,-,"earthquake (poor location, deep 100k)"
252,60.3639,-144.1713,7.587,1663871509,1237,8,1.83,1.2519,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
253,60.3115,-142.5695,43.1065,1663871516,1238,9,1.45,0.6643,D,duplicate of evid #1237
256,60.3844,-143.6764,0.021,1663894369,1241,9,1.68,0.6143,-,earthquake
257,60.9278,-144.428,33.7827,1663916919,1242,6,-999,0.5014,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
260,60.6508,-144.4142,18.2409,1663928536,1246,5,-999,0.1997,-,"regional earthquake, P-only location"
263,60.2743,-142.6888,0,1663948695,1250,5,-999,0.92,n,impulsive noise conbined with some possible real earthquake signals
267,60.959,-141.1757,1.3359,1663987214,1254,8,-999,1.6038,-,earthquake
268,60.4494,-138.9364,2.982,1663987660,1255,4,-999,0.1953,n,combined noise
269,60.998,-144.5607,30,1664000081,1256,13,1.7,-1,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
270,60.1621,-140.5396,2.3367,1664000360,1257,15,1.69,0.7432,-,earthquake
272,60.1459,-140.7955,0.0621,1664003221,1260,6,-999,0.636,-,earthquake (small)
274,61.4595,-141.058,12.1465,1664026708,1262,17,1.92,0.8379,-,earthquake
277,60.7417,-142.9115,21.8825,1664050564,1266,10,1.5,2.4721,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
278,60.2474,-143.5263,8.142,1664056809,1267,7,-999,0.4388,-,earthquake
279,61.2172,-141.2008,0,1664079171,1268,8,-999,0.8284,-,earthquake
